Variable Name,Short Description,Long Description (Summarized)
PH020,SUFFER FROM ANY CHRONIC [LONG-STANDING],"The question corresponding to this variable is part of standardised variables and also part of the Minimum European Health Module (MEHM). It should be asked just after the PH010 question and just before the PH030 question. It should not be used as a filter question for the PH030 variable. The MEHM consists of two more variables on health status: self-perceived general health and limitation in activities because of health problems (also known as Global Activity Limitation Indicator - GALI). If the MEHM is implemented, all the questions should be asked in the recommended order (i.e. self-perceived general health, long-standing health problem, and limitation in activities because of health problems) and with no inclusion of any other health status related questions before or between the MEHM questions as it could have an impact on the results. On implementing the reference question (see section 'reference question'), it is necessary to keep in mind that the recommended wording allows for possible adaptations. For instance: • ‘chronic’ or ‘long-standing’ should be chosen according to what is ‘best understood’ in a country/language. • it is intended to ask if people ‘have’ a chronic condition, not if they really 'suffer' from it. However, the verb 'suffer' can be used in countries/languages where it is considered more suitable for the question formulation and still retains the same meaning as the verb 'have' in English. • ‘health problem’ seems not to be understood in some countries/languages and therefore ‘illness or condition’ is the alternative. The terms ‘disability, handicap, impairment’ should not be included in the question as synonyms for ‘illness or health problem’. Rather than adding further details to the question wording, interviewees should be instructed to be as inclusive as possible when considering the actual prevalence of a long-standing health problem. This means that the following could be considered as long-standing health problems (i.e., the corresponding option for an answer would be 'yes'): • problems that are seasonal or intermittent, even where they ‘flare up’ for less than six months at a time (for instance allergies); • chronic problems not considered by the respondent as very serious; severity doesn't play a role in this variable; • problems that have not been diagnosed by a doctor (to exclude these would mean permitting those with better access to medical services to declare more problems); • a long-standing disease that doesn't bother the respondent and/or is kept under control with medication (for instance people with a high blood pressure);"
PH030,LIMITATION IN ACTIVITIES BECAUSE OF HEALTH,"The model question is part of standardised variables and part of the Minimum European Health Module (MEHM). It should be asked just after the PH020 question and should not be filtered by the PH020 question. The MEHM consists of two more variables on health status: self-perceived general health and long-standing health problem. If the MEHM is implemented, all the questions should be asked in the recommended order (i.e. self-perceived general health, long-standing health problem, and limitation in activities because of health problems) and with no inclusion of any other health status related questions before or between the MEHM questions as it could have impact on results. The question should clearly show that the reference is to the activities people usually do and not to respondent’s ‘own activities’. Neither a list with examples of activities (for example work or school, home or leisure activities) nor a reference to the age group of the subject is included in the question. As such it gives no restrictions by culture, age, gender or the subjects own ambition. Specification of health concepts (e.g., physical and mental health) should be avoided. The purpose of the instrument is to measure the presence of long-standing limitations, as the consequences of such long-standing limitations (e.g., care, dependency) are more serious. The variable reports on participation restriction through long-standing limitation (6 months or more) in activities that people usually do because of health problems, and its severity. It measures the respondent’s self-assessment of whether he/she is limited (in ‘activities people usually do’) by any on-going physical, mental or emotional health problem, including disease or impairment, and old age. Consequences of injuries/accidents, congenital conditions, etc., are all included. Only the limitations directly caused by or related to one or more health problems are considered. Limitations due to financial, cultural or other none health-related causes should not be taken into account. The everyday activities should be considered, while their abilities to do certain sports should not be included as limitation. An activity is defined as: ‘the performance of a task or action by an individual’ and thus activity limitations are defined as ‘the difficulties the individual experiences in performing an activity'. People with long-standing limitations due to health problems have passed through a process of adaptation which may have resulted in a reduction of their activities. To be able to identify existing limitations a reference is necessary and therefore the activity limitations are assessed against a generally accepted population standard, relative to cultural and"
PH040,UNMET NEED FOR MEDICAL EXAMINATION OR,"From 2015 onwards The purpose of the variable is to capture the restricted access to medical care according to the person’s own assessment of whether he or she needed medical examination or treatment, but did not get it, experienced a delay in getting it or did not seek for it. Delay in getting healthcare can be treated as unmet need if considered by respondents as important. However, detailing the time between the need for the service and the time of having the service is not possible as for different health conditions/problems different time references would be needed. It is up to respondents to consider if the delay was too long and if they consider it as unmet need. Medical care refers to individual healthcare services (medical examination or treatment) provided by or under direct supervision of medical doctors (ISCO-08 code 221 group on general and specialist medical practitioners), traditional and complementary medical professionals (ISCO-08 code 2230) or equivalent professions according to national healthcare systems. Included: • Medical mental healthcare; • Prevention if perceived by respondents as important. For example, a national healthcare system guarantees regular preventive medical check-ups but the respondent is not able to make an appointment and perceives the situation as jeopardizing his/her health. Healthcare provided for different purposes (curative, rehabilitative, long-term healthcare) and by different modes of provision (inpatient, outpatient, day, and home care) Excluded: • Self-medication (taking prescribed or non-prescribed drugs). • Dental care."
PH050,MAIN REASON FOR UNMET NEED FOR MEDICAL,"From 2015 onwards The purpose of this variable is to collect the main reason for unmet need for medical examination or treatment based on personal assessment. This is follow-up variable to the PH040 Unmet need for medical examination or treatment. The purpose of the variable is to capture the reasons for a restricted access to medical care according to the person’s own. Included: • Medical mental healthcare. • Prevention if perceived by respondents as important. For example, a national healthcare system guaranties regular preventive medical check-ups but the respondent is not able to make an appointment and perceives the situation as jeopardising his/her health. • Care provided for different purposes (curative, rehabilitative, long-term healthcare) and by different modes of provision (inpatient, outpatient, day, and home care). Excluded: • Self-medication (taking prescribed or non-prescribed drugs). • Dental care. It is recommended that the question is implemented in the following way: PH040_Q1: Was there any time during the last 12 months when you really needed a medical examination or treatment (excluding dental) for yourself?"
PH060,UNMET NEED FOR DENTAL EXAMINATION OR,"From 2015 onwards The aim of the variable is to capture unmet needs for dental care according to the person’s own assessment of whether he or she needed dental examination or treatment, but didn't get it, experienced a delay in getting it or didn't seek for it. Delay in getting care can be treated as unmet need if considered by respondents as important. It is up to respondents to consider if the delay was too long and if they consider it as unmet need. Dental care refers to individual healthcare services provided by or under direct supervision of stomatologists (dentists) (ISCO-08 code 2261). Healthcare provided by orthodontists is included. Included: • Prevention if perceived by respondents as important. For example, a national healthcare system guarantees regular preventive medical check-ups but the respondent is not able to make an appointment and perceives the situation as jeopardising his/her health. Excluded: • Self-medication (taking prescribed or non-prescribed drugs). • Medical care. It is recommended that the question is implemented in the following way: PH060_Q1: Was there any time during the last 12 months when you really needed a dental examination or treatment for yourself? Yes (I really needed at least at one occasion dental examination or treatment )  1 No (I did not need any dental examination or treatment)  2 FILTER: If PH060_Q1 = 1 then GO TO PH060_Q2. Else GO TO [next module]. PH060_Q2: Did you have a dental examination or treatment each time you really needed? Yes (I had a dental examination or treatment each time I needed)  1 No (there was at least one occasion when I did not have a dental examination or treatment)  2 FILTER: If PH060_Q2 = 2 then GO TO PH070_Q1. Else GO TO [next module]. Recommendations on the model question(s):"
PH070,MAIN REASON FOR UNMET NEED FOR DENTAL,"From 2015 onwards This variable aims to capture the main reason for unmet need for dental examination or treatment. It is recommended that the question is implemented in the following way: PH070_Q1: What was the main reason for not having a dental examination or treatment? Could not afford to (too expensive)  1 Waiting list  2 Could not take time because of work, care for children or for others  3 Too far to travel or no means of transportation  4 Fear of dentists, hospitals, examination or treatment  5 Wanted to wait and see if problem got better on its own  6 Did not know any good dentist  7 Other reasons  8 Recommendations on the model question(s): • To follow the proposed order of the answer options. • All the answer options should be read out during the interview (to be sure that the main reason is answered based on all possible options). Explanations for the reasons of unmet needs: • Could not afford to (too expensive)."
PD020,REPLACE WORN-OUT CLOTHES BY SOME NEW,"The focus is on the replacement of the worn-out clothes by some new clothes e.g., suits, winter coats, pants. It is important to note that the variable refers to worn-out clothes, and not old-fashioned ones. Suggested question: Could you tell me if you can replace worn-out clothes by some new (not second-hand) ones? Please mark. 1    Yes 2    No, cannot afford 3    No, other reasons"
PD030,TWO PAIRS OF PROPERLY FITTING SHOES,"The concept of shoes has to be understood in a broad sense and adapted to the climatic conditions of the countries concerned (including both boots and sandals). On the other hand, all-weather shoes (excluding sandals and boots) could be defined as any daily life shoes. Daily life shoes should be shoes the respondent can wear most days e.g., to work. Suggested question: Do you have two pairs of shoes in a good condition that are suitable for daily activities? (Note: Two pairs of properly fitting shoes, suitable for daily activities including a pair of all-weather shoes) Please mark. 1    Yes 2    No, cannot afford 3    No, other reasons"
PD050,GET-TOGETHER WITH FRIENDS/FAMILY,"Friends should be understood as people the respondent enjoys being with and with whom the respondent shares private matters. The family, or relatives, should be understood in its widest meaning. It includes father/mother/children, siblings, grandparents, aunts, uncles, cousins, nephews, nieces, families-in-law, etc. To get together for a drink/meal: To get-together for a drink/meal means spending time eating and/or drinking with friends or family (relatives) at home or elsewhere (restaurant, pub, etc.). Getting together with friends for professional matters only is excluded. The ‘No - cannot afford it’ answer for getting together for a drink/meal refers to the financial exclusion/ deprivation. The ‘No - other reason’ answer for this variable refers to another type of exclusion, namely the social exclusion. This formulation is thought to be more adapted in a cross-national perspective because having friends at home is not the main way to have social relation in all countries. This variable aims to take into account the multi-cultural specificities as well as the financial and social aspects of deprivation. Suggested question: Do you get-together with friends/family (relatives) for a drink/meal at least once a month?"
PD060,REGULARLY PARTICIPATE IN A LEISURE,"Regularly: The term ‘regularly’ is linked to the repeated activity (ies) and is to be self-defined by the respondent. However, a ‘yes’ answer should imply that leisure activities (all together) are done several times per year. Leisure activity: Activities such as sport, cinema, concert, etc. should occur outside the home. These activities would incur costs for entrance and/or travel costs (e.g., swimming), for purchase costs (e.g., riding a bicycle) or for participating in organised events (e.g. football club fees). The formal organisation of activities is not an important element. Suggested question: Do you regularly participate in a leisure activity (that costs money) outside home?"
PD070,SPEND A SMALL AMOUNT OF MONEY EACH,"To spend a small amount of money on yourself means to freely spend money, to buy/do something for yourself, for your own pleasure e.g., to go to the movies, to buy a small object, to buy a magazine, a small book, a cake, an ice-cream in summer or other small things to eat, to go to the hairdresser, etc. The ""Yes"" answer means that the person can afford to spend this money. Suggested question: ‘Do you spend a small amount of money most weeks on yourself, for your own pleasure (buying/doing something for yourself)?’"
PD080,INTERNET CONNECTION FOR PERSONAL USE AT,"Internet access can be via Smartphone (e.g., BlackBerry/iPhone), other wireless handheld device (tablet, etc …), video games console, laptop, desktop computer, TV etc. Examples of internet activities for personal use: social networking, sending/receiving emails, using services related to travel and accommodation, creating web pages, blogs, internet banking, reading or downloading online music, video, news etc., looking for information, telephoning or making video calls, buying/selling goods or services, taking part in online consultations or voting on civil or political issues etc. The household member is considered to have an internet connection for personal use at home only if all the needs for personal use are fully fulfilled by this connection. Suggested question: ‘Do you have an Internet connection at home for personal use when needed?’"
PW010,OVERALL LIFE SATISFACTION,"Life satisfaction represents a report of how a respondent evaluates or appraises his or her life taken as a whole. The term ‘life’ is intended here as all areas of a person’s life at a particular point in time (these days). The variable focuses on how people are feeling ‘these days’ rather than specifying a longer or shorter time period. The intent is not to obtain the emotional state of the respondent at the given moment but for them to make a reflective judgement on their level of satisfaction. Registers are not applicable and are not supposed to be used for wellbeing questions. Moreover, unit should include all current household members aged 16 years and over or selected respondent (where applicable). The notion is restricted to an assessment coming from the individual and as far as possible not from anyone else. The suggested question is: Overall, how satisfied are you with your life these days? Please answer (circle) on a scale of 0 to 10, where 0 means not at all satisfied and 10 means completely satisfied. Not at all satisfied 0-----1-----2------3-----4-----5-----6-----7-----8-----9-----10 Completely satisfied"
PW191,TRUST IN OTHERS,"The variable refers to the respondent’s opinion/feeling. 'Social trust is […] a core value or belief; an abstract evaluation of the moral standards of the society in which we live' (Sturgis et al. 2012). Others should be treated as people with whom the respondent is not acquainted (family, friends, neighbours etc. should be excluded). It should mean that ""most people"" can be trusted, but (as reported by interviewers) 10 is chosen when ""all people can be trusted"". If there is no response or a refusal to respond, the value of the variable will be missing, and the record flag should be filled as ‘-1’. Registers are not applicable and are not supposed to be used on wellbeing questions. Moreover, unit should include all current household members aged 16 years and over or selected respondent (where applicable). The notion is restricted to an assessment coming from the individual and as far as possible not from anyone else. Suggested question: ‘Would you say that most people can be trusted?’ ‘To what extent do you trust other people?’ Please answer (circle) on a scale from 0 to 10, where 0 means that in general you do not trust any other person and 10 that you feel most people can be trusted. Do not trust at all 0-----1-----2------3-----4-----5-----6-----7-----8-----9-----10 Trust completely (with the order 0 to 10 and not 10 to 0)"
PL016,EXISTENCE OF PREVIOUS EMPLOYMENT,"This variable is part of the standardised social variable list. The variable provides information on whether a person without employment has previously been in employment, and whether the previous employment experience was or not limited to purely occasional work. For the purpose of this variable, occasional work refers to a job without the features of continuity and job security. It is defined as a job that lasted less than three months (regardless of whether the job is part-time or full-time, formal or informal) and had only one spell in time. Employment is defined in the 19th ICLS resolution53 concerning statistics of work, employment and labour underutilization. The previous employment experience should be employment for pay or profit, with at least one hour of work per week. A person who only has work experience that is not in line with the employment definition in the 19th ICLS resolution (eg. unpaid work or unpaid traineeships) should be coded as having no employment experience. Unpaid family work is considered as employment according to the 19th ICLS resolution and should be treated as employment experience. Work as a conscript (compulsory military or civilian service) should not be considered as employment experience for this variable. Seasonal workers working less than three months but for several consecutive years should be considered as having employment experience other than occasional work. By contrast, persons who only have vacation work which lasted less than three months over the course of only one year should be considered as has having employment experience limited to occasional work. 53 See 19th ICLS resolution concerning statistics of work, employment and labour underutilization http://www.ilo.org/global/statistics-and-databases/standards-and-guidelines/resolutions-adopted-by-international- conferences-of-labour-statisticians/WCMS_230304/lang--en/index.htm"
PL032,SELF-DEFINED CURRENT ECONOMIC STATUS,"From 2021 operation onwards, the variable PL032 replaces PL031 where modalities are changed according to standardised social variables. This variable should only be collected from interviewees and information should not be obtained from registers. The self-declared current ‘main activity status’: the main status refers to the current situation (situation at the moment of the data collection/interview). The concept of ‘current’ implies that any definitive changes in (54) An agreement was reached during the Living Conditions Working Group meeting in June 2008 that the variable PL030 will be replaced by the variable PL031 with slightly different answering categories in order to harmonise labour variables. In 2010, the LC WG agreed that from the 2011 operation onwards, they would suppress PL030 and retain only PL031."
PL060,NUMBER OF HOURS USUALLY WORKED PER,"If the respondent has multiple jobs, the main job is the one in which the most hours are usually worked. Persons who changed job during the reference week should regard the job at the end of the reference week as their main job. The number of hours corresponds to the number of hours the person normally works in their main job. This covers all hours including extra hours, either paid or unpaid, which the person normally works, but excludes the travel time between the home and the place of work as well as the main meal break (normally taken at midday). Persons who usually also work at home are asked to include the number of hours they usually work at home. Some persons, particularly self-employed and family workers, may not have usual hours, in the sense that their hours vary considerably from week to week or month to month. When the respondent is unable to provide the number of usual hours for this reason, the average of the hours actually worked per week over the past four weeks is used as a measure of usual hours. Code ‘-6’ is applied to those cases where neither the number of usual hours, nor an average number of hours worked over the past four weeks, can be established. For self-employed people, , usual hours may also include work done at home, such as planning, record-keeping and so on. In the case of teachers, hours worked should be considered as the hours of teaching, those dedicated to preparation of classes, study, research as well as hours of compulsory attendance in the centre of studies. Apprentices, trainees and other persons in vocational training should exclude the time spent in school or other special training centres. Suggested question: ‘How many hours do you usually work per week in your main job?’ Please note that this question does not include hours worked in your second or third jobs. Please write the number of hours:  _________________"
PL073,NUMBER OF MONTHS SPENT IN FULL-TIME WORK,"This variable is derived from calendar activity status. The condition is full-time job (see PL145). Nevertheless, for the selected respondent countries, or when this is not possible, part of the information can be derived (selected respondent 16+) and part of it can be asked through interview (the remain individuals 16+). The status is self-defined, and the same definitions apply as for the variable ‘self-defined current economic status’. If the person combines different part-time jobs as an employee that result in the equivalent hours of a full-time job, the person should consider themselves as an employee working full-time (modality 1). The same holds if the person has a main job as an employee and an additional ""small"" (in terms of hours) second job as a self-employed person, both jobs being remunerated in what would be considered, together, as the remuneration for a full-time equivalent role. If more than one type of activity occurs in the same month, priority should be given to economic activity (“main activity: work”) over non-economic activity or inactivity. If the respondent worked, at least two weeks of the month, then the variables PL073 ‘Number of months spent at full-time work as employee’; should be filled. If more than one activity status applies in the same month, the respondent will select one on the basis of self- assessment. The criteria of most time spent may be useful where applicable. The self-declared ‘main activity status’ is self-assessed by the respondent and the chosen category should appropriately describe how a person mainly perceives themselves. The self-declared main activity status is determined on the basis of how most time is spent, but no criteria have been specified explicitly. Full-time/part-time: the distinction between full-time and part-time work should be made on the basis of a spontaneous answer provided by the respondent in the calendar activity reported. It is impossible to establish a more exact distinction between part-time and full-time work, due to variations in working hours between countries and also between industry sectors. By checking the answer with the number of hours usually worked, it should be possible to detect and even to correct implausible answers, since part-time work will rarely exceed 35 hours, while full-time work will usually start at about 30 hours. Work means any work for pay or profit. Pay includes cash payments or ‘payment in kind’. Self-employed persons with a business, farm or professional practice are also considered to be working if one of the following applies:"
PL074,NUMBER OF MONTHS SPENT IN PART-TIME,"This variable can be derived from the calendar of activity. For the selected respondent countries, or when this is not possible, part of the information can be derived (selected respondent 16+) and part of it can be asked through interview (other household members aged 16+). The status is self-defined, and the same definitions apply as for the variable ‘self-defined current economic status’ (PL032). In particular, if the person combines different part-time jobs as an employee leading to an equivalent full-time work, the person should consider themselves as an employee working full-time. The same holds if the person has a main job as an employee and an additional ""small"" (in terms of hours) second job as a self-employed person, both jobs being remunerated in what would be considered, together, as the remuneration for a full-time equivalent role. If more than one type of activity occurs in the same month, priority should be given to economic activity (“main activity: work”) over non-economic activity and over inactivity. On the basis of this principle, the following rules may be used: If the respondent worked part-time, at least two weeks of the month, then variables; PL074 ‘Number of months spent in part-time work as employee’ should be filled. If more than one activity status applies in the same month, the respondent will select one on the basis of self- assessment. The criterion of most time spent may be useful where applicable. The self-declared ‘main activity status’: the variable refers to a person’s own perception of their current main activity status. The different statuses refer to socially relevant categories including labour market participation, but also consider several categories of social status for persons where employment is not the main activity. It does not apply criteria of a specific concept e.g. of labour market participation as defined by the International Labour Organisation (ILO). The main activity status is self-assessed by the respondent and the chosen category should appropriately describe how a person mainly perceives themselves. The self-declared main activity status is determined on the basis of how most time is spent, but no criteria have been specified explicitly. Full-time/part-time: the distinction between full-time and part-time work should be made on the basis of a spontaneous answer provided by the respondent in the calendar activity reported. It is impossible to establish a more exact distinction between part-time and full-time work, due to variations in working hours between countries and also between industry sectors. By checking the answer with the number of hours usually"
PL075,NUMBER OF MONTHS SPENT IN FULL-TIME WORK,"This variable can be derived from the calendar of activity. For the selected respondent countries, or when this is not possible, part of the information can be derived (selected respondent 16+) and part of it can be asked through interview (other household members aged 16+). The status is self-defined, and the same definitions apply as for the variable ‘self-defined current economic status’. In particular, if the person combines different part-time jobs as an employee leading to an equivalent full-time work, the person should consider themselves as an employee working full-time. If more than one type of activity occurs in the same month, priority should be given to economic activity (“main activity: work”) over non-economic activity and over inactivity. On the basis of this principle, the following rules may be used: If the respondent worked as self-employed, at least two weeks of the month, then PL075 ‘Number of months spent in full-time work as self-employed (including family worker)’ and/or PL076 ‘Number of months spent in part-time work as self- employed (including family worker’ should be filled in. If more than one of the other situations applies in the same month, the respondent should select one on the basis of self-assessment. The criterion of most time spent may be useful where applicable. The self-declared ‘main activity status’: this variable refers to a person’s own perception of their current main activity status. The different statuses refer to socially relevant categories including labour market participation, but also consider several categories of social status for persons where employment is not the main activity. It does not apply specific criteria e.g., of labour market participation as defined by the International Labour Organisation (ILO). The main activity status is self-assessed by the respondent and the chosen category should appropriately describe how a person mainly perceives themselves. The self-declared main activity status is determined on the basis of how most time is spent, but no criteria have been specified explicitly. If the person combines different part-time jobs as an employee that result in the equivalent hours of a full- time job, the person should consider themselves as an employee working full-time (Modality 1). The same holds if the person has a main job as an employee and an additional ""small"" (in terms of hours) second job as a self-employed person, both jobs being remunerated in what would be considered as the remuneration for a full-time equivalent role. Work means any work for pay or profit. Pay includes cash payments or ‘payment in kind’ (payment in goods or services rather than money). Self-employed persons with a business, farm or professional practice are also considered to be working if one of the following applies:"
PL076,NUMBER OF MONTHS SPENT IN PART-TIME,"This variable can be derived from the calendar of activity. For the selected respondent countries, or when this is not possible, part of the information can be derived (selected respondent 16+) and part of it can be asked through interview (other household members aged 16+). The status is self-defined, and the same definitions apply as for the variable ‘self-defined current economic status’. In particular, if the person combines different part-time jobs as an employee leading to an equivalent full-time work, the person should consider themselves as an employee working full-time. If more than one type of activity occurs in the same month, priority should be given to economic activity (“main activity: work”) over non-economic activity and over inactivity. On the basis of this principle, the following rules may be used: If the respondent worked as self-employed, at least two weeks of the month, PL075 ‘Number of months spent in full-time work as self-employed (including family worker)’ and/or PL076 ‘Number of months spent in part- time work as self-employed (including family worker’ should be filled in. If more than one of the other situations applies in the same month, the respondent will select one on the basis of self-assessment. The criterion of most time spent may be useful where applicable. The target variable captures the person’s own perception of their main activity. Full-time/part-time: the distinction between full-time and part-time work should be made on the basis of a spontaneous answer provided by the respondent. It is impossible to establish a more exact distinction between part-time and full-time work, due to variations in working hours between countries and also between industry sectors. By checking the answer against the number of hours usually worked, it should be possible to detect and even to correct implausible answers, since part-time work will rarely exceed 35 hours, while full-time work will usually start at about 30 hours. Only part-time and self-employed persons should be considered as PL076. Self-employed means persons who work for their own business, professional practice or farm to earn a profit. Members of producer co-operatives should be considered as self-employed if in the co-operative, each member takes part on an equal footing with other members in determining the organisation of production, sales and/or other work of the establishment, the investments and the distribution of the proceeds of the establishment among their members. Family worker means persons who help another member of the family run an agricultural holding or other"
PL080,NUMBER OF MONTHS SPENT IN UNEMPLOYMENT,"This variable can be derived from the calendar of activity. For the selected respondent countries, or when this is not possible, part of the information can be derived (selected respondent 16+) and part of it can be asked through interview (other household members aged 16+). The status is self-defined, and the same definitions apply as for the variable ‘self-defined current economic status’ The target variable captures the person’s own perception of their main activity. It differs from the ILO concept to the extent that people’s own perception of their main status differs from the strict definitions used in the ILO definitions. Respondents can see themselves as being unemployed irrespective of an official status or a registration with the public employment agency. Unemployed can also have “small” jobs while seeking for a main job. Early retirement for economic reasons can be included as unemployed according to the respondent's perception i.e., a person in early retirement for economic reasons will be included as unemployed if they classify themselves as being unemployed. Note: The total number of months recorded for the respondent in PL073+ PL074+ PL075+ PL076+ PL080+ PL085+ PL086+ PL087+ PL087+PL089+ PL090 cannot exceed 12."
PL085,NUMBER OF MONTHS SPENT IN RETIREMENT,"This variable can be derived from the calendar of activity. For the selected respondent countries, or when this is not possible, part of the information can be derived (selected respondent 16+) and part of it can be asked through interview (other household members aged 16+). The status is self-defined, and the same definitions apply as for the variable ‘self-defined current economic status’. The target variable captures the person’s own perception of their main activity. Respondents can consider themselves as retired if they receive a pension or if they have finally stopped working or given up their business because of their age or age related health condition. Still, they could work e.g., in a “small” job. Persons in early retirement that is not connected to health issues can also choose this category. However, early retirement due to economic reasons is classified according to the respondent's feeling, i.e., a person in early retirement for economic reasons will be included here only if they classify themselves as being retired. If early retirement for economic reasons and according to the respondent's perception, they include themselves as unemployed then the early retirement for economic reasons should be included as unemployed if they classify themselves as being unemployed. If more than one of the other situations applies in the same month, the respondent should select one on the basis of self-assessment. The criterion of most time spent may be useful where applicable. The self-declared main activity status is determined on the basis of how most time is spent, but no criteria have been specified explicitly. If more than one type of activity occurs in the same month, priority should be given to economic activity (“main activity: work”) over non-economic activity and over inactivity. Note: The total number of months recorded for the respondent in PL073+ PL074+ PL075+ PL076+ PL080+ PL085+ PL086+ PL087+ PL087+PL089+ PL090 cannot exceed 12."
PL086,NUMBER OF MONTHS UNABLE TO WORK DUE TO,"This variable can be derived from the calendar of activity. For the selected respondent countries, or when this is not possible, part of the information can be derived (selected respondent 16+) and part of it can be asked through interview (other household members aged 16+). The status is self-defined, and the same definitions apply as for the variable ‘self-defined current economic status’. Persons can consider themselves unable to work due to long-standing health problems if they are unable to work due to health reasons or disabilities for a longer, undetermined or permanent time and/or are unfit to work. The response is given based on self-assessment and is independent from the benefit they receive. Persons who have not reached retirement age but are unable to work due to health reasons or disabilities for a longer or undetermined time can choose based on self-assessment, the category unable to work due to long-standing health problems. Persons who are in early retirement due to health reasons can choose this category based on self-assessment if they would not rather consider themselves as retired. If more than one of the other situations applies in the same month, the respondent should select one on the basis of self-assessment. The criterion of most time spent may be useful where applicable. If more than one type of activity occurs in the same month, priority should be given to economic activity (“main activity: work”) over non-economic activity and over inactivity. Note: The total number of months recorded for the respondent in PL073+ PL074+ PL075+ PL076+ PL080+ PL085+ PL086+ PL087+ PL087+PL089+ PL090 cannot exceed 12."
PL087,NUMBER OF MONTHS SPENT STUDYING,"This variable can be derived from the calendar of activity. For the selected respondent countries, or when this is not possible, part of the information can be derived (selected respondent 16+) and part of it can be asked through interview (other household members aged 16+). The status is self-defined, and the same definitions apply as for the variable ‘self-defined current economic status’. Respondents who are in various forms of vocational education or training that (partly) takes place at the work site can consider themselves as being in employment. This also applies to apprentices, as well as paid trainees or interns, who can consider themselves as being in employment, while persons having an unpaid work-based training may assign themselves to the category “student/pupil”. If more than one of the other situations applies in the same month, the respondent should select one on the basis of self-assessment. The criterion of most time spent may be useful where applicable. If more than one type of activity occurs in the same month, priority should be given to economic activity (“main activity: work”) over non-economic activity and over inactivity. Note: The total number of months recorded for the respondent in PL073+ PL074+ PL075+ PL076+ PL080+ PL085+ PL086+ PL087+ PL087+PL089+ PL090 cannot exceed 12."
PL088,NUMBER OF MONTHS SPENT IN COMPULSORY,"This variable can be derived from the activity calendar. For the selected respondent countries, or when this is not possible, part of the information can be derived (selected respondent 16+) and part of it can be asked through interview (other household members aged 16+). The status is self-defined, and the same definitions apply as for the variable ‘self-defined current economic status’. Persons being part of military service during the income reference period should record the number of months. If a person has not reached the age of being involved in the military service, the value is ‘0’ and likewise if a person has reached the age when the military service is no longer applicable. If more than one of the other situations applies in the same month, the respondent should select one on the basis of self-assessment. The criterion of most time spent may be useful where applicable. If more than one type of activity occurs in the same month, priority should be given to economic activity (“main activity: work”) over non-economic activity and over inactivity. Note: The total number of months recorded for the respondent in PL073+ PL074+ PL075+ PL076+ PL080+ PL085+ PL086+ PL087+ PL087+PL089+ PL090 cannot exceed 12."
PL089,NUMBER OF MONTHS SPENT FULFILLING,"This variable can be derived from the calendar of activity. For the selected respondent countries, or when this is not possible, part of the information can be derived (selected respondent 16+) and part of it can be asked through interview (other household members aged 16+). The status is self-defined, and the same definitions apply as for the variable ‘self-defined current economic status’ (PL032). The target variable captures the person’s own perception of their main activity. It differs from the ILO concept to the extent that people’s own perception of their main status differs from the strict definitions used in the ILO definitions. If more than one of the other situations applies in the same month, the respondent should select one on the basis of self-assessment. The criterion of most time spent may be useful where applicable. If more than one type of activity occurs in the same month, priority should be given to economic activity (“main activity: work”) over non-economic activity and over inactivity. If more than one of the other situations apply in the same month, the respondent should select one on the basis of self-assessment. The criterion of most time spent may be useful where applicable. The category 'fulfilling domestic tasks' includes all activities needed to run a private household including the raising of children. Note: The total number of months recorded for the respondent in PL073+ PL074+ PL075+ PL076+ PL080+ PL085+ PL086+ PL087+ PL087+PL089+ PL090 cannot exceed 12."
PL090,NUMBER OF MONTHS SPENT IN OTHER,"This variable can be derived from the calendar of activity. For the selected respondent countries, or when this is not possible, part of the information can be derived (selected respondent 16+) and part of it can be asked through interview (other household members aged 16+). The status is self-defined, and the same definitions apply as for the variable ‘self-defined current economic status’ (PL032). Persons who cannot choose one of the activity status categories can select the category 'other'. These can be volunteers or mainly inactive persons. Also, these persons could have a job or fulfil domestic tasks. If more than one of the other situations applies in the same month, the respondent should select one on the basis of self-assessment. The criterion of most time spent may be useful where applicable. If more than one type of activity occurs in the same month, priority should be given to economic activity (“main activity: work”) over non-economic activity and over inactivity. Note: The total number of months recorded for the respondent in PL073+ PL074+ PL075+ PL076+ PL080+ PL085+ PL086+ PL087+ PL087+PL089+ PL090 cannot exceed 12."
PL100,TOTAL NUMBER OF HOURS PER WEEK USUALLY,"If multiple jobs are held, the number of hours usually worked in the second, third (and more) jobs should be recorded. For the number of hours usually worked per week in the main job, see PL060. Suggested question: ‘How many hours do you usually work per week in your second and third (and subsequent) jobs?’ Please note that this question includes hours of work in your second, third jobs if you have one beside your main one. This covers all hours including extra hours, either paid or unpaid, which you normally work, but it excludes the travel time between the home and the place of work as well as the main meal break (normally taken at midday)."
