Variable Name,Short Description,Long Description (Summarized)
HS140,FINANCIAL BURDEN OF THE TOTAL HOUSING,"Suggested question: HS140_Q1: Please consider your total housing costs including mortgage repayments (instalments and interest) or rent, insurance and service charges (sewage removal, rubbish collection, regular maintenance, repairs and other charges). To what extent are these costs a financial burden on you? [Please note: only actual paid housing costs have to be taken into account] Would you say they are: 1."
HS180,"POLLUTION, GRIME OR OTHER ENVIRONMENTAL","A detailed list of examples (road dust, exhaust gases from vehicles; smoke, dust or unpleasant smells from factories; unpleasant smells from waste or sewage; polluted water from water pipes as well as polluted rivers) is proposed for inclusion only in the interviewers’ guidelines, not in national questionnaires. Suggested question: HS180_Q1: Do you have any of the following problems related to the place where you live: pollution, grime or other environmental problems such as smoke, dust, unpleasant smells or polluted water? 1."
HS190,"CRIME, VIOLENCE OR VANDALISM IN THE AREA","A reference to the area (situated close to the place where you live) should be clearly indicated both in the national questionnaires and in the national interviewers’ guidelines. The objective is to assess whether the respondent feels ‘crime, violence or vandalism’ to be a problem for the household (not whether they are bothered by the problem)."
HH081,BATH OR SHOWER IN DWELLING (OPTIONAL),"This variable replaces, from the 2008 operation onwards, the HH080 variable defined in the EU-SILC Regulation. A shower unit or bathtub outside the dwelling are not to be considered in this item."
HH091,INDOOR FLUSHING TOILET FOR SOLE USE OF,"No 69 The Living Conditions Working Group agreed during its meeting in 2010 to delete HH090 and to keep only HH091 from the 2011 operation onwards.. This variable replaces, from the 2008 operation onwards, the HH090 variable defined in the EU-SILC Regulation69."
PT220,TYPE OF HOUSEHOLD WHEN RESPONDENT WAS,"For a respondent who alternated between two households and spent an equal amount of time with both legal guardians or parents (when they were around 14 years old), the household in which the respondent was officially registered (recorded in the population register or passport or some other document) should be the one considered. Collective households or institutions are for instance: hospitals, children’s homes, residential homes, correction facilities, military barracks, religious institutions, boarding houses and workers’ hostels, etc."
PT230,PRESENCE OF MOTHER WHEN RESPONDENT WAS,"If the parents of the respondent were divorced or separated and shared custody (50% of the time for each parent), the respondent has the option to: - select their household on an objective basis, taking into account their main address when they were around 14 years old (i.e. the one in the population register and/or on their ID card or passport); - select their household on a subjective basis according to where they felt more at home when they were around 14 years old."
PT240,PRESENCE OF FATHER WHEN RESPONDENT WAS,"If the parents of the respondent were divorced or separated and shared custody (50% of the time for each parent), the respondent has the option to: - select their household on an objective basis, taking into account their main address when they were around 14 years old (i.e. the one in the population register and/or on their ID card or passport); - select their household on a subjective basis according to where they felt more at home when they were around 14 years old."
PT070,CITIZENSHIP OF THE FATHER (OPTIONAL),"A recognised non-citizen is a person who is not a citizen of the reporting country nor of any other country, but who has established links to that country that include some but not all of the rights and obligations of full citizenship. Citizenship means the particular legal bond between an individual and their state, acquired by birth or naturalisation, whether by declaration, choice, marriage or other means according to national legislation."
PT100,CITIZENSHIP OF THE MOTHER (OPTIONAL),"A recognised non-citizen is a person who is not a citizen of the reporting country nor of any other country, but who has established links to that country that include some but not all the rights and obligations. Citizenship means the particular legal bond between an individual and their state, acquired by birth or naturalisation, whether by declaration, choice, marriage or other means according to national legislation."
PT110,HIGHEST LEVEL OF EDUCATION ATTAINED BY THE,"The level is defined according to the International Standard Classification of Education 2011 (ISCED 2011, see http://uis.unesco.org/sites/default/files/documents/international-standard-classification-of-education-isced-2011- en.pdf). The highest education that the father (or person considered as a father) had attained before or during the period when the respondent was around 14 years old."
PT120,HIGHEST LEVEL OF EDUCATION ATTAINED BY THE,"The level is defined according to the International Standard Classification of Education 2011 (ISCED 2011, see http://uis.unesco.org/sites/default/files/documents/international-standard-classification-of-education-isced-2011- en.pdf). The highest education that the mother (or person considered as a mother) had attained before or during the period when the respondent was around 14 years old."
PT130,ACTIVITY STATUS OF THE FATHER WHEN,"- Self-employed persons are defined as persons who work in their own business, professional practice or farm for the purpose of earning a profit derived from the goods or services produced, including family workers. - Persons ‘in retirement’ are those who receive a pension or who have stopped working or given up their business because of their age or an age-related health problem."
PT160,ACTIVITY STATUS OF THE MOTHER WHEN,"- Self-employed persons are defined as persons who work in their own business, professional practice or farm for the purpose of earning a profit derived from the goods or services produced, including family workers. - Persons ‘in retirement’ are those who receive a pension or who have finally stopped working or given up their business because of their age or an age-related health condition."
PT150,MAIN OCCUPATION OF THE FATHER WHEN,"Suggested question: FILTER: IF Age < 25 or Age > 59, then Go to the next question IF 25 ≤ Age ≤59 and [PT240 in (3, 4) or PT220=2] >> go to the next question IF 25 ≤ Age ≤ 59 and PT240 in (1, 2) and PT220 = 1 >> go to PT150_Q1 PT150_Q1: What was your father’s [or other parent’s if you had same-sex parents] main occupation when you were around 14 years old? ____ (ISCO-08, 1 digit) 99 Don’t know. For the detailed guidelines please refer to http://ec.europa.eu/eurostat/documents/1978984/6037342/ISCO-08.pdf and the Annex ISCO: International Standard Classification of Occupations."
PT180,MAIN OCCUPATION OF THE MOTHER WHEN,"Suggested question: FILTER: IF Age < 25 or Age > 59, then Go to the next question IF 25 ≤ Age ≤ 59 and [PT230 in (3, 4) or PT220=2] >> go to the next question IF 25 ≤ Age ≤ 59 and PT230 in (1, 2) and PT220 = 1 >> go to PT180_Q1 PT180_Q1: What was your mother’s [or parent’s if you had same-sex parents] main occupation when you were around 14 years old? ____ (ISCO-08, 1 digit) 99 Don’t know. For he detailed guidelines please refer to http://ec.europa.eu/eurostat/documents/1978984/6037342/ISCO-08.pdf and the Annex: ISCO: International Standard Classification of Occupations."
PT210,TENANCY STATUS WHEN RESPONDENT WAS,"If, for instance, the accommodation was provided by a relative (such as by the respondent’s grandparents) who was not a member of the household, then it should be recorded as either ‘rented’ or ‘accommodation was provided free’, depending on whether or not rent was paid by this household. Households that had an outstanding mortgage for the purchase of the accommodation or paid part rent and part mortgage for their accommodation should be classified as ‘owners’ if they possessed a title deed."
PT190,FINANCIAL SITUATION OF THE HOUSEHOLD WHEN,"Suggested question: FILTER: IF Age < 25 or Age > 59, then Go to the next question IF 25 ≤ Age ≤ 59 and or PT220=2 >> go to the next question IF 25 ≤ Age ≤ 59 and PT220 = 1 >> go to PT190_Q1 PT190_Q1: When you were around 14 years old, how would you assess the financial situation of your household? 1. For a respondent who alternated between two households and spent an equal amount of time with both legal guardians or parents (when they were around 14 years old), please use the same household indicated for PT220 ‘Type of household’ when the respondent was around 14 years old."
PT260,BASIC SCHOOL NEEDS (BOOKS AND EQUIPMENT,Suggested question: FILTER: IF [Age < 25 or Age > 59] or PT220=2 >> go to the next question IF 25 ≤ Age ≤ 59 and PT220 = 1 >> go to PT260_Q1 PT260_Q1: Did all the children in your household have all their basic school needs met (books and equipment for school) when you were around 14 years old? 1. This variable holds for the entire group of children aged between 1 and 18 who were attending school and residing in the household of the respondent when they were around 14 years old.
PT270,"HAVING DAILY MEAL WITH MEAT, CHICKEN, FISH (OR","Suggested question: FILTER: IF [Age < 25 or Age > 59] or PT220=2 >> go to the next question IF 25 ≤ Age ≤ 59 and PT220 = 1 >> go to PT270_Q1 PT270_Q1: Did all the children in your household have at least one meal with meat, chicken, fish, or vegetarian equivalent at least once a day when you were around 14 years old? 1. The objective is to determine whether the respondent and other children in their household had at least one meal with meat, chicken, fish or vegetarian equivalent daily when the respondent was around 14 years old."
PT280,ONE WEEK OF ANNUAL HOLIDAY AWAY FROM HOME,"Suggested question: FILTER: IF [Age < 25 or Age > 59] or PT220=2 >> go to the next question IF 25 ≤ Age ≤ 59 and PT220 = 1 >> go to PT280_Q1 PT280_Q1: Did all the children in your household go on holiday away from home for at least 1 week a year when you were around 14 years old? 1. If every child of the household went on holiday away from home at least 1 week a year, the answer should be ‘Yes’ whatever the context (holidays with family, relatives, friends, a youth organisation, a school trip, etc.)."
HC001,HEATING SYSTEM USED,"The purpose is to identify where the heat is generated: (i) outside the building premises (district heating or teleheating); (ii) in common and at the level of the building premises (central heating); (iii) at dwelling level (individual heating); or (iv) through a portable heating source that can be moved from one room to another (non-fixed heating). A district heating network (also known as a heat network or teleheating) is the distribution of thermal energy in the form of steam or hot water from a central source of production through a network to multiple buildings or sites, for the use of space or process heating."
HC002,MAIN ENERGY SOURCE,"Biomass includes pellet fuels (or pellets) that are compressed organic matter or biomass using wood or small woodchips, nutshells, corn kernels, etc. The main energy source should be the one that is mostly used and/or serves the biggest part of the dwelling in terms of floor area/surface."
HC003,"RENOVATION (THERMAL INSULATION, WINDOWS OR","70 A dwelling is a room or suite of rooms – including its accessories, lobbies and corridors – in a permanent building or a structurally separated part of a building which, by the way it has been built, rebuilt or converted, is designed for habitation by one private household all year round. The following renovation measures should be included: - improvement in thermal insulation of external walls, roof or floor; - replacement of single glazed windows with double or triple glazed windows; - replacement of the heating system with a more efficient one."
HC060,INABILITY TO KEEP THE DWELLING COMFORTABLY,"Therefore, it should not be confused with the HH050 variable ‘Ability to keep home adequately warm’, which refers to the financial resources of the household and for which the concern could be expressed as: ‘Does the household have sufficient financial resources to keep its dwelling sufficiently warm during the winter?’ It also does not measure if the household is able to keep the dwelling comfortably warm during extreme weather situations, e.g. Suggested question: HC060_Q1: Apart from your household's ability to afford heating costs, do you consider that the dwelling's heating system and thermal insulation are adequate to keep the dwelling comfortably warm during the winter? 1."
HC070,INABILITY TO KEEP THE DWELLING COMFORTABLY,"The purpose of this variable is to address the following concerns: ‘Is the cooling system efficient enough to keep the dwelling cool?’ and/or ‘Is the dwelling sufficiently insulated against heat?’ This variable does not measure whether the household has the financial resources to keep the dwelling comfortably cool during the summer; or is able to keep the dwelling comfortably cool during extreme weather situations, e.g. Suggested question: HC070_Q1: Apart from your household's ability to afford cooling costs, do you consider that the dwelling's cooling system and thermal insulation are adequate to keep the dwelling comfortably cool during the summer? Please do not consider whether the household has the financial resources to keep the dwelling comfortably cool during the summer."
HC004,TYPE OF WINDOWS (OPTIONAL),"The following definitions should be considered: - Single glazed – windows are made of a single pane of glass; - Double glazed – windows are made of two panes of glass; - Triple glazed or more – windows are made of at least three panes of glass. Mixed single and double or triple glazing should be selected if different types of windows are used in the dwelling, some of which are single glazed and others (at least one) double or triple glazed."
HC005,YEAR OF CONSTRUCTION (OPTIONAL),"Suggested question: HC005_Q1: What was the year of construction or major renovation of the dwelling (house or apartment building) that you live in? [In case of major renovation (extensive modernisation with insulation, roof, electrical system, heating system, etc. Major renovation refers to an extensive modernisation of the building, with insulation, roof, electrical system, heating system, etc."
HI012,CHANGE IN INCOME AS AN OUTCOME OF COVID-,This variable collects the subjective opinion of the household on whether the change in income is an outcome of the COVID-19 crisis. Suggested question Did the change in income happen as an outcome of COVID-19? 1.
HY150,FINANCIAL SUPPORT (GOVERNMENT FUNDED) FROM THE COVID-19,"HY150 does include: - Government support during the income reference period, directly to the household as support to pensioners, disabled, sick persons, unemployed, student etc; - Government support during the income reference period, given indirectly to the household via supporting enterprises and they were paying employees (for reduced working hours, for period when the employees are forced to stay at home, for temporary lay-off, additional wage support ….); - Government support during the income reference period, for the self-employed (support that aims to replace loss of the income); - Government support during the income reference period, other than ones listed above. HY150 does not include: - Support in monetary amounts, during the income reference period, given to enterprises directly to keep their business; - Support in monetary amounts received, during the income reference period, given from the company to their employees;."
HD225,DISTANCE LEARNING COURSES/SCHOOL DURING COVID-,"This variable should be asked directly after the question about suitable place to study or to do homework (HD220) Suggested question HD225: Does your child/each child in your household who attend school (aged 5 to 17) had the possibility to follow distance learning courses/school in an appropriate way (each had available when necessary computer/mobile device, good internet connection) during covid-19 restrictions in last 12 months? 1. If in a given household at least one child does not have internet connection or computer/mobile device, it is then assumed that all the children belonging to that household are limited in accessing the lessons online."
PL220,WORKING FROM HOME DURING PANDEMIC (OPTIONAL),"When respondents cannot spontaneously choose one category, particularly when several reasons apply to them, the main reason should be chosen. The distinction of main reason should be based on the respondent's own perception or select the one which is the most difficult to overcome."
PH051,UNMET NEED FOR MEDICAL EXAMINATION OR,This variable is a follow up variable for PH040 ‘Unmet need for medical examination or treatment’ and PH050 ‘Main reason for unmet need for medical examination or treatment’. It indicates if COVID-19 was a reason for unmet need for medical examination or treatment based on personal assessment.
PH071,UNMET NEED FOR DENTAL EXAMINATION OR,This variable is a follow up variable for PH060 ‘Unmet need for dental examination or treatment’ and PH070 ‘Main reason for unmet need for dental examination or treatment’. PH071: Is the unmet need for dental examination or treatment because of the COVID-19 crisis? 1.
RL080,REMOTE EDUCATION (OPTIONAL),Remote education: “Remote education” shall be understood as learning when the student and the teacher/educator are not physically present in a traditional classroom environment. Suggested question: During a usual week how many hours does your child spend in remote education? 0−99 Number of hours of remote education during a typical week.
